Name,ISO_Code,Total_Vaccinations
Afghanistan,AFG,108000.0
Albania,ALB,66738.0
Algeria,DZA,150000.0
Andorra,AND,9828.0
Angola,AGO,98000.0
Anguilla,AIA,10696.0
Antigua and Barbuda,ATG,51354.0
Argentina,ARG,36257564.0
Australia,AUS,2929434.0
Austria,AUT,35744737.0
Azerbaijan,AZE,965328.0
Bahamas,BHS,110.0
Bahrain,BHR,9475238.0
Bangladesh,BGD,9521494.0
Barbados,BRB,1304189.0
Belarus,BLR,60000.0
Belgium,BEL,44014295.0
Belize,BLZ,70241.0
Bermuda,BMU,60962.0
Bolivia,BOL,2142068.0
Brazil,BRA,78754980.0
Bulgaria,BGR,9910658.0
Cambodia,KHM,1262837.0
Canada,CAN,113681407.0
Cayman Islands,CYM,115753.0
Chile,CHL,183242606.0
China,CHN,149912000.0
Colombia,COL,12531521.0
Costa Rica,CRI,496164.0
Cote d'Ivoire,CIV,173635.0
Croatia,HRV,730164.0
Cyprus,CYP,258876.0
Czechia,CZE,38657443.0
Denmark,DNK,32727572.0
Dominica,DMA,27130.0
Dominican Republic,DOM,1350000.0
Ecuador,ECU,282382.0
Egypt,EGY,2630.0
El Salvador,SLV,98000.0
England,OWID_ENG,910506805.0
Equatorial Guinea,GNQ,6565.0
Estonia,EST,1993297.0
Faeroe Islands,FRO,36446.0
Falkland Islands,FLK,3464.0
Finland,FIN,10225756.0
France,FRA,17147102.0
Germany,DEU,322588883.0
Ghana,GHA,840000.0
Gibraltar,GIB,950644.0
Greece,GRC,9452546.0
Greenland,GRL,10260.0
Grenada,GRD,17212.0
Guatemala,GTM,474488.0
Guernsey,GGY,58766.0
Guinea,GIN,25263.0
Guyana,GUY,31048.0
Honduras,HND,86146.0
Hong Kong,HKG,3453700.0
Hungary,HUN,50782866.0
Iceland,ISL,204481.0
India,IND,758188759.0
Indonesia,IDN,79051545.0
Iran,IRN,248386.0
Ireland,IRL,9186250.0
Isle of Man,IMN,66672.0
Israel,ISR,465315197.0
Italy,ITA,251145847.0
Jamaica,JAM,32192.0
Japan,JPN,2464763.0
Jersey,JEY,91516.0
Jordan,JOR,545296.0
Kazakhstan,KAZ,219990.0
Kenya,KEN,40000.0
Kuwait,KWT,720000.0
Laos,LAO,40732.0
Latvia,LVA,205490.0
Lebanon,LBN,984037.0
Liechtenstein,LIE,8430.0
Lithuania,LTU,8760549.0
Luxembourg,LUX,380244.0
Macao,MAC,563555.0
Malawi,MWI,49100.0
Malaysia,MYS,4602714.0
Maldives,MDV,3729152.0
Malta,MLT,4024139.0
Mauritius,MUS,7686.0
Mexico,MEX,103731421.0
Moldova,MDA,40988.0
Monaco,MCO,36162.0
Mongolia,MNG,1531451.0
Montenegro,MNE,36004.0
Montserrat,MSR,1864.0
Morocco,MAR,19909870.0
Mozambique,MOZ,92878.0
Myanmar,MMR,760000.0
Nepal,NPL,3200000.0
Netherlands,NLD,3775452.0
New Zealand,NZL,54000.0
Nigeria,NGA,16000.0
North Macedonia,MKD,10600.0
Northern Cyprus,OWID_CYN,22000.0
Northern Ireland,OWID_NIR,28801450.0
Norway,NOR,22381413.0
Oman,OMN,219688.0
Pakistan,PAK,700000.0
Panama,PAN,1180661.0
Paraguay,PRY,112538.0
Peru,PER,11666470.0
Philippines,PHL,480594.0
Poland,POL,51110977.0
Portugal,PRT,40278246.0
Qatar,QAT,1189226.0
Romania,ROU,80271489.0
Russia,RUS,48400473.0
Rwanda,RWA,4438613.0
Saint Helena,SHN,6214.0
Saint Kitts and Nevis,KNA,15160.0
Saint Lucia,LCA,40494.0
Saint Vincent and the Grenadines,VCT,18766.0
San Marino,SMR,64691.0
Saudi Arabia,SAU,34618081.0
Scotland,OWID_SCT,82356635.0
Senegal,SEN,1281362.0
Serbia,SRB,48302591.0
Seychelles,SYC,180300.0
Singapore,SGP,1584846.0
Slovakia,SVK,22607651.0
Slovenia,SVN,9653834.0
South Africa,ZAF,981463.0
South Korea,KOR,9674946.0
Spain,ESP,28882456.0
Sri Lanka,LKA,15513547.0
Suriname,SUR,30271.0
Sweden,SWE,6176685.0
Switzerland,CHE,34335405.0
Thailand,THA,107684.0
Trinidad and Tobago,TTO,1982.0
Tunisia,TUN,24992.0
Turkey,TUR,381655474.0
Turks and Caicos Islands,TCA,12866.0
Uganda,UGA,69483.0
Ukraine,UKR,428019.0
United Arab Emirates,ARE,327946460.0
United Kingdom,GBR,1074191202.0
United States,USA,2979210935.0
Uruguay,URY,3375734.0
Venezuela,VEN,24388.0
Vietnam,VNM,149464.0
Wales,OWID_WLS,51820593.0
Zimbabwe,ZWE,809060.0
